	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
other	0.0038407808169722557	0.0026820958591997623	0.0033620663452893496	0.004019381012767553	0.0028428328223526478	0.0034249972086399794	0.004251969046890736	0.0034066515509039164	0.0	0.0	0.0	0.003219255246222019	0.0	0.004357147961854935	0.0024104039184749126
knowledge	0.003629339626058936	0.0	0.0	0.0	0.0036794370971620083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
experience	0.003530560526996851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
amp	0.0034572703298181295	0.0	0.0	0.0	0.0	0.005935212131589651	0.0	0.0033016197849065065	0.0	0.0	0.004296417813748121	0.0	0.0	0.0	0.0
exchange	0.0033052710350602865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chinese	0.003289780579507351	0.0	0.004751517903059721	0.0	0.0	0.008528824895620346	0.0	0.0	0.017755087465047836	0.0	0.013679565861821175	0.007970992475748062	0.0	0.0	0.0
today	0.003281033132225275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005505998153239489	0.0	0.0	0.0	0.0
top	0.0032772652339190245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
universities	0.0032306797802448273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
activities	0.0031385356560349464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003535513300448656	0.0
local	0.003127145580947399	0.0	0.0	0.0	0.004723141901195049	0.0	0.0	0.0	0.0	0.0	0.0	0.00474753649905324	0.0	0.0	0.0
mainland	0.0031140227802097797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003705966053530574	0.0	0.0	0.0
event	0.0030871923081576824	0.0	0.0	0.0	0.0	0.0051151420921087265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
training	0.003081353148445487	0.0	0.0	0.0	0.0037012631073594093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
